Year,Lobbyist Name,Principal,Lobbyist’s Firm,Additional Lobbyists,Lobbying Matter,First Half (Jan1 – June 30),Second Half (July1 – DEC 31),Reference URL for First Half,Reference URL for Second Half
2015,Jody S. Kline,Quadrangle Development Corporation,"Miller, Miller & Canby",Soo Lee-Cho,Zoning rewrite and subsequent potential text amendments relating to the rewrite and map amendment.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=435,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=435
2025,Dennis C. Alexander,Easterseals DC MD VA,Easterseals DC MD VA,,Issues and funding related to disability and veterans services,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=3039,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=3039
2021,Steven Silverman,Foundation Housing,SSGOVRELATIONS LLC,,County financial support,10000.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2505,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2505
2021,Barbara A. Sears,EYA,Miles & Stockbridge P.C.,Phillip A. Hummel,Rockville Pike Properties,6128.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2479,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2479
2024,Caroline Kisicki,Coalition for Smarter Growth (parent org: Piedmont,Coalition for Smarter Growth (parent org: Piedmont,,"Land use and transportation issues, including transit-oriented development and master plans; better transit; affordable housing; safe streets",326.00,353.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2921,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2921
2020,Steven Silverman,Washington Property Company,SSGOVRELATIONS LLC,,Real estate matters,12500.00,12500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2367,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2367
2016,Todd D. Brown,"Conley Management, Inc.","Shulman, Rogers, Gandal, Pordy & Ecker, P.A.",,Bethesda Sector Plan.,0.00,2091.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=817,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=817
2015,Stephen J. Orens,Kevin Smart  and George Simmons,Miles & Stockbridge,,Comprehensive Water & Sewer Map Amendment,0.00,6030.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=529,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=529
2019,"Nancy P. Regelin, Esquire","Brown Development, LLC","Shulman, Rogers, Gandal, Pordy & Ecker, P.A.",,"General development, affordable housing, transportation and economic development matters.",10653.00,18198.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2186,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2186
2025,Melvin R. Thompson,Restaurant Association of Maryland,Restaurant Association of Maryland,,"Restaurant, Foodservice & Hospitality Issues",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=3089,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=3089
